response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
44.5631,0.0371,0.0013,0.0001,44.5257,0.0002,200,0.0035
44.0003,0.0000,0.0000,0.0001,44.0000,0.0002,200,44.5667
43.9139,0.0000,0.0000,0.0000,43.9132,0.0006,200,88.5670
42.8895,0.0000,0.0000,0.0004,42.8889,0.0001,200,132.4809
44.4614,0.0000,0.0000,0.0001,44.4612,0.0001,200,175.3704
44.5180,0.0000,0.0000,0.0000,44.5169,0.0010,200,219.8318
44.3824,0.0000,0.0000,0.0000,44.3822,0.0001,200,264.3497
