test_name, replicas, timestamp, load
float-operation, 1, 2021-12-10 09:43:56, 2
float-operation, 2, 2021-12-10 09:51:57, 4
float-operation, 3, 2021-12-10 10:02:57, 8
float-operation, 4, 2021-12-10 10:15:00, 14
float-operation, 5, 2021-12-10 10:19:52, 16
float-operation, 6, 2021-12-10 10:35:00, 22
float-operation, 7, 2021-12-10 10:45:01, 26
float-operation, 8, 2021-12-10 10:56:00, 30
float-operation, 9, 2021-12-10 11:10:04, 36
float-operation, 10, 2021-12-10 11:10:04, 36
float-operation, 9, 2021-12-10 11:16:07, 38
float-operation, 10, 2021-12-10 11:17:00, 38
float-operation, 9, 2021-12-10 11:49:54, 0
float-operation, 8, 2021-12-10 11:49:54, 0
float-operation, 7, 2021-12-10 11:49:55, 0
float-operation, 6, 2021-12-10 11:49:55, 0
float-operation, 5, 2021-12-10 11:49:56, 0
float-operation, 4, 2021-12-10 11:49:57, 0
float-operation, 3, 2021-12-10 11:49:57, 0
float-operation, 2, 2021-12-10 11:49:58, 0
float-operation, 1, 2021-12-10 11:49:58, 0
